32.4799	32.7599	4
33.1199	33.7999	4
34.2652	34.7052	4
7.6014	7.7214	8
36.8651	37.2251	12
51.1051	51.5451	8
52.1051	52.5451	8
53.6251	54.3051	8
54.3851	55.3051	8
59.3451	59.9051	11
60.6651	61.0651	11
88.8251	89.1051	8
89.1851	89.6251	8
110.1851	110.3051	6
110.5451	110.9851	4
111.7451	112.1451	8
112.3851	112.8251	8
129.7850	130.1450	22
130.1850	130.5850	22
167.3049	167.8649	8
168.5849	169.7449	8
190.9033	191.3033	22
191.3833	192.0233	22
193.5433	193.9033	22
194.6633	195.2633	22
275.8424	276.2824	8
276.3224	276.6024	8
278.2424	279.0424	8
296.2024	296.8024	4
308.8423	309.8823	99
321.1623	321.6023	8
322.1623	322.4023	8
369.3623	370.1623	21
399.1152	400.8352	11
431.0352	432.0752	8
446.6752	446.9552	6
446.9223	447.4023	5
487.0823	488.2423	8
488.4823	488.6023	8
488.7623	489.0423	11
489.2823	490.4423	11
557.6423	558.6423	8
558.6714	558.8714	8
