32.4799	32.7599	4
33.1199	33.7999	4
34.2652	34.7052	4
7.6014	7.7214	8
36.8651	37.2251	12
51.1051	51.5451	8
52.1051	52.5451	8
53.6251	54.3051	8
54.3851	55.3051	8
59.3451	59.9051	11
60.6651	61.0651	11
88.8251	89.1051	8
89.1851	89.6251	8
110.1851	110.3051	6
110.5451	110.9851	4
111.7451	112.1451	8
112.3851	112.8251	8
129.7850	130.1450	22
130.1850	130.5850	22
167.3049	167.8649	8
168.5849	169.7449	8
190.9033	191.3033	22
191.3833	192.0233	22
193.5433	193.9033	22
194.6633	195.2633	22
275.8424	276.2824	8
276.3224	276.6024	8
278.2424	279.0424	8
296.2024	296.8024	4
308.8423	309.8823	99
321.1623	321.6023	8
322.1623	322.4023	8
369.3623	370.1623	21
399.1152	400.8352	11
431.0352	432.0752	8
446.6752	446.9552	6
446.9223	447.4023	5
487.0823	488.2423	8
488.4823	488.6023	8
488.7623	489.0423	11
489.2823	490.4423	11
557.6423	558.6423	8
558.6714	558.8714	8
0	0.3599	8
1.4799	2.1599	28
4.9199	5.4399	28
6.2525	7.9325	29
8.8125	10.2125	11
10.5725	12.2525	11
12.4925	12.7725	11
101.9239	103.2039	8
134.2604	134.9004	8
190.3804	190.6204	11
190.9404	191.7004	11
191.8204	193.4204	11
333.9404	336.1404	8
396.7804	398.1404	11
398.1804	399.4604	11
399.5404	402.6604	11
402.6905	405.4905	8
464.6905	465.4905	4
580.4905	582.6505	8
621.6905	623.0105	11
623.0503	629.7703	11
695.9703	698.4103	11
698.4503	701.0103	8
754.4502	767.9301	11
804.7301	805.2501	8
805.2901	806.3701	11
