node_id,feature_id,value
0,81,1.0
0,213,1.0
0,574,1.0
0,577,1.0
0,697,1.0
0,766,1.0
0,1051,1.0
0,1074,1.0
0,1252,1.0
0,1309,1.0
0,1339,1.0
0,1673,1.0
0,1768,1.0
0,1897,1.0
0,1899,1.0
0,2122,1.0
0,2204,1.0
0,2207,1.0
0,2611,1.0
0,2771,1.0
0,2898,1.0
0,2899,1.0
0,2937,1.0
0,3040,1.0
0,3164,1.0
0,3495,1.0
0,3498,1.0
0,3517,1.0
0,4349,1.0
0,4385,1.0
0,4390,1.0
0,4611,1.0
0,4684,1.0
0,5286,1.0
0,5869,1.0
0,6534,1.0
0,6733,1.0
0,6857,1.0
0,6859,1.0
0,7155,1.0
0,8006,1.0
0,9192,1.0
0,9428,1.0
0,10174,1.0
0,10175,1.0
0,10231,1.0
0,10818,1.0
0,12163,1.0
0,13705,1.0
0,13710,1.0
0,15441,1.0
0,15548,1.0
0,17236,1.0
0,17574,1.0
0,18166,1.0
0,18383,1.0
0,18743,1.0
0,20341,1.0
0,20812,1.0
0,20864,1.0
0,20925,1.0
0,20927,1.0
0,21622,1.0
0,28879,1.0
1,0,1.0
1,10,1.0
1,12,1.0
1,13,1.0
1,16,1.0
1,25,1.0
1,32,1.0
1,35,1.0
1,71,1.0
1,76,1.0
1,80,1.0
1,98,1.0
1,101,1.0
1,168,1.0
1,172,1.0
1,222,1.0
1,251,1.0
1,275,1.0
1,278,1.0
1,325,1.0
1,365,1.0
1,391,1.0
1,395,1.0
1,414,1.0
1,449,1.0
1,452,1.0
1,454,1.0
1,464,1.0
1,484,1.0
1,505,1.0
1,507,1.0
1,523,1.0
1,524,1.0
1,532,1.0
1,537,1.0
1,553,1.0
1,555,1.0
1,601,1.0
1,617,1.0
1,661,1.0
1,675,1.0
1,705,1.0
1,708,1.0
1,713,1.0
1,786,1.0
1,832,1.0
1,929,1.0
1,934,1.0
1,966,1.0
1,980,1.0
1,994,1.0
1,1010,1.0
1,1014,1.0
1,1054,1.0
1,1128,1.0
1,1220,1.0
1,1302,1.0
1,1352,1.0
1,1417,1.0
1,1436,1.0
1,1468,1.0
1,1496,1.0
1,1785,1.0
1,1914,1.0
1,2091,1.0
1,2122,1.0
1,2156,1.0
1,2484,1.0
1,2636,1.0
1,3034,1.0
1,3047,1.0
1,3273,1.0
1,3493,1.0
1,4026,1.0
1,4328,1.0
1,4473,1.0
1,4514,1.0
1,4731,1.0
1,4818,1.0
1,4974,1.0
1,5065,1.0
1,5066,1.0
1,5166,1.0
1,5611,1.0
1,6173,1.0
1,6182,1.0
1,6857,1.0
1,6998,1.0
1,7113,1.0
1,7128,1.0
1,7381,1.0
1,7811,1.0
1,7819,1.0
1,7824,1.0
1,7955,1.0
1,8029,1.0
1,8334,1.0
1,8440,1.0
1,8574,1.0
1,8672,1.0
1,9143,1.0
1,9657,1.0
1,9965,1.0
1,10169,1.0
1,10170,1.0
1,10191,1.0
1,10211,1.0
1,10219,1.0
1,10334,1.0
1,11246,1.0
1,11675,1.0
1,11807,1.0
1,12315,1.0
1,12343,1.0
1,12965,1.0
1,13753,1.0
1,14128,1.0
1,14493,1.0
1,15543,1.0
1,16552,1.0
1,17059,1.0
1,17312,1.0
1,17366,1.0
1,17458,1.0
1,17485,1.0
1,18654,1.0
1,19470,1.0
1,19596,1.0
1,19618,1.0
1,19627,1.0
1,19707,1.0
1,19806,1.0
1,20007,1.0
1,20268,1.0
1,20280,1.0
1,20303,1.0
1,20908,1.0
1,21220,1.0
1,21342,1.0
1,22642,1.0
1,23281,1.0
1,23492,1.0
1,24123,1.0
1,26851,1.0
1,28156,1.0
1,28222,1.0
1,28435,1.0
1,28549,1.0
1,28624,1.0
1,28908,1.0
1,30063,1.0
1,30468,1.0
1,30661,1.0
1,30709,1.0
1,31042,1.0
2,35,1.0
2,83,1.0
2,103,1.0
2,258,1.0
2,361,1.0
2,523,1.0
2,675,1.0
2,711,1.0
2,744,1.0
2,2259,1.0
2,2264,1.0
2,2481,1.0
2,3050,1.0
2,4063,1.0
2,4717,1.0
2,5777,1.0
2,6943,1.0
2,7308,1.0
2,7929,1.0
2,9368,1.0
2,10326,1.0
2,10439,1.0
2,10872,1.0
2,10997,1.0
2,11123,1.0
2,11189,1.0
2,11715,1.0
2,11926,1.0
2,13521,1.0
2,14298,1.0
2,14410,1.0
2,14679,1.0
2,14682,1.0
2,15302,1.0
2,17601,1.0
2,18050,1.0
2,20392,1.0
2,20875,1.0
2,21034,1.0
2,21664,1.0
2,21765,1.0
2,22221,1.0
2,23215,1.0
2,23938,1.0
2,26646,1.0
2,26714,1.0
2,27851,1.0
2,27999,1.0
2,28316,1.0
2,28845,1.0
2,29538,1.0
3,24,1.0
3,108,1.0
3,251,1.0
3,395,1.0
3,407,1.0
3,418,1.0
3,451,1.0
3,627,1.0
3,675,1.0
3,764,1.0
3,796,1.0
3,857,1.0
3,951,1.0
3,966,1.0
3,1038,1.0
3,1252,1.0
3,1342,1.0
3,1768,1.0
3,1987,1.0
3,2102,1.0
3,2751,1.0
3,2798,1.0
3,3901,1.0
3,4579,1.0
3,5282,1.0
3,7547,1.0
3,7791,1.0
3,7819,1.0
3,8482,1.0
3,9252,1.0
3,9738,1.0
3,10564,1.0
3,10914,1.0
3,12373,1.0
3,13006,1.0
3,13069,1.0
3,13715,1.0
3,13749,1.0
3,17149,1.0
3,18623,1.0
3,19458,1.0
3,20021,1.0
3,20170,1.0
3,25194,1.0
3,25814,1.0
3,26028,1.0
3,26152,1.0
3,27006,1.0
3,27675,1.0
3,27833,1.0
3,28736,1.0
3,31186,1.0
5,108,1.0
5,112,1.0
5,174,1.0
5,398,1.0
5,594,1.0
5,620,1.0
5,888,1.0
5,1095,1.0
5,1159,1.0
5,1801,1.0
5,2002,1.0
5,2003,1.0
5,2658,1.0
5,2698,1.0
5,3660,1.0
5,3741,1.0
5,6015,1.0
5,7009,1.0
5,7168,1.0
5,7425,1.0
5,7896,1.0
5,8454,1.0
5,8784,1.0
5,9301,1.0
5,9627,1.0
5,10892,1.0
5,11560,1.0
5,13295,1.0
5,13804,1.0
5,14636,1.0
5,14963,1.0
5,15017,1.0
5,15869,1.0
5,16274,1.0
5,16903,1.0
5,18916,1.0
5,21034,1.0
5,21061,1.0
5,21104,1.0
5,21359,1.0
5,23528,1.0
5,23556,1.0
5,24011,1.0
5,26202,1.0
5,29145,1.0
5,29688,1.0
5,30585,1.0
5,31120,1.0
10,133,1.0
10,273,1.0
10,505,1.0
10,2002,1.0
10,8828,1.0
13,9,1.0
13,464,1.0
13,4974,1.0
13,5777,1.0
13,6932,1.0
13,7605,1.0
13,7929,1.0
13,14945,1.0
13,18983,1.0
13,19252,1.0
13,20805,1.0
13,29545,1.0
14,1884,1.0
14,5040,1.0
14,7308,1.0
14,13068,1.0
14,13899,1.0
14,20181,1.0
14,26717,1.0
15,16,1.0
15,35,1.0
15,138,1.0
15,153,1.0
15,220,1.0
15,505,1.0
15,1063,1.0
15,2482,1.0
15,5065,1.0
15,7957,1.0
15,8349,1.0
15,26267,1.0
15,26945,1.0
16,2,1.0
16,32,1.0
16,35,1.0
16,42,1.0
16,61,1.0
16,63,1.0
16,82,1.0
16,87,1.0
16,97,1.0
16,114,1.0
16,454,1.0
16,505,1.0
16,556,1.0
16,675,1.0
16,681,1.0
16,706,1.0
16,716,1.0
16,729,1.0
16,807,1.0
16,1208,1.0
16,2665,1.0
16,3324,1.0
16,3837,1.0
16,3866,1.0
16,5842,1.0
16,7047,1.0
16,7122,1.0
16,7128,1.0
16,7955,1.0
16,7957,1.0
16,8028,1.0
16,8264,1.0
16,8825,1.0
16,10072,1.0
16,10813,1.0
16,11305,1.0
16,12028,1.0
16,12085,1.0
16,12346,1.0
16,12758,1.0
16,12999,1.0
16,13037,1.0
16,13753,1.0
16,13804,1.0
16,15183,1.0
16,17127,1.0
16,17881,1.0
16,19286,1.0
16,19379,1.0
16,20772,1.0
16,20875,1.0
16,20921,1.0
16,21061,1.0
16,21159,1.0
16,21342,1.0
16,22663,1.0
16,23492,1.0
16,23874,1.0
16,24266,1.0
16,25258,1.0
16,25514,1.0
16,25592,1.0
16,27050,1.0
16,28680,1.0
16,28760,1.0
16,28776,1.0
16,28908,1.0
16,30665,1.0
17,95,1.0
17,8349,1.0
17,9571,1.0
17,10322,1.0
17,14803,1.0
17,20875,1.0
17,26851,1.0
17,27166,1.0
18,12,1.0
18,61,1.0
18,63,1.0
18,505,1.0
18,2877,1.0
18,7568,1.0
18,7957,1.0
18,10892,1.0
18,11976,1.0
18,12042,1.0
18,12999,1.0
18,13373,1.0
18,13795,1.0
18,15720,1.0
18,15782,1.0
18,15869,1.0
18,17881,1.0
18,20022,1.0
18,21342,1.0
18,21824,1.0
18,23199,1.0
18,23938,1.0
18,24306,1.0
18,24410,1.0
18,26851,1.0
18,27825,1.0
18,28760,1.0
18,29865,1.0
18,30133,1.0
19,505,1.0
19,21220,1.0
20,681,1.0
20,2340,1.0
20,2482,1.0
20,4488,1.0
20,4976,1.0
20,5274,1.0
20,8028,1.0
